| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202607110005 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607110004 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607110004 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202607110003 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202607110003 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |
| 202607110002 | AMERICANO CALIENTE | 11 DESCAFEINADO/10 CORTADO | 1.0 | 65.00 | No |
| 202607110002 | AMERICANO CALIENTE | 10 CORTADO | 2.0 | 130.00 | No |
| 202607110002 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202607110002 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |
| 202607110001 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607110001 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: DIFERENCIA $401.00
- Generado: 2026-07-15T13:06:18.973461 (recopos_extractor.py / GitHub Actions)
