| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202609050005 | MARACUYA SMOOTHIE |  | 1.0 | 105.00 | No |
| 202609050004 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609050003 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609050003 | CHAPATA CHILORIO |  | 1.0 | 150.00 | No |
| 202609050002 | LATTE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202609050001 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202609050001 | CAPUCCINO FRIO | 04 LECHE DE ALMENDRA | 1.0 | 94.00 | No |
| 202609050001 | AGUA |  | 1.0 | 20.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: OK
- Generado: 2026-09-06T06:10:49.812793 (recopos_extractor.py / GitHub Actions)
