| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606270007 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202606270006 | FLAT WHITE CALIENTE | 08 SHOT EXTRA/LECHE LIGHT | 1.0 | 91.00 | No |
| 202606270005 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606270005 | YOGURT GRIEGO CON FRESAS |  | 1.0 | 75.00 | No |
| 202606270005 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606270004 | CAPUCCINO CALIENTE VAINILLA | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202606270003 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606270002 | SINCRONIZADAS DE JAMON |  | 1.0 | 130.00 | No |
| 202606270001 | HORCHATA FRIA | 03 LECHE DE COCO | 1.0 | 107.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: DIFERENCIA $30.00
- Generado: 2026-06-30T00:14:54.079804 (recopos_extractor.py / GitHub Actions)
