| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606260006 | COFFE TONIC |  | 1.0 | 99.00 | No |
| 202606260006 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606260005 | MOKA BLANCO CAPUCCINO CALIENTE | 04 LECHE DE ALMENDRA | 2.0 | 208.00 | No |
| 202606260005 | MANGO SMOOTHIE |  | 1.0 | 100.00 | No |
| 202606260005 | ROL DE CANELA CAJETA Y NUEZ |  | 1.0 | 68.00 | No |
| 202606260005 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202606260005 | ROL DE CANELA MANZANA |  | 1.0 | 68.00 | No |
| 202606260004 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606260003 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606260002 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606260002 | WRAP DE OMELETTE Y CHILORIO |  | 1.0 | 150.00 | No |
| 202606260002 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606260001 | CAPUCCINO CALIENTE | LECHE LIGHT | 1.0 | 76.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: OK
- Generado: 2026-06-27T17:27:15.743049 (recopos_extractor.py / GitHub Actions)
