| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202607180006 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202607180005 | SANDWICH P/P/PANELA |  | 1.0 | 99.00 | No |
| 202607180004 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607180003 | MOKA CAPUCCINO CALIENTE | 03 LECHE DE COCO | 1.0 | 104.00 | No |
| 202607180003 | SINCRONIZADAS DE JAMON |  | 1.0 | 130.00 | No |
| 202607180002 | CHOCOLATE CALIENTE | 01 LECHE ENTERA | 1.0 | 90.00 | No |
| 202607180001 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607180001 | CHOCOLATE CALIENTE | LECHE LIGHT | 1.0 | 90.00 | No |
| 202607180001 | MOKA CAPUCCINO FRIO | LECHE LIGHT | 1.0 | 97.00 | No |
| 202607180001 | OREJITAS |  | 1.0 | 40.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: DIFERENCIA $450.00
- Generado: 2026-07-20T18:30:40.371697 (recopos_extractor.py / GitHub Actions)
