| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606130005 | TE FRUTOS ROJOS FRIO |  | 1 | 60.00 | No |
| 202606130005 | TARO S/A FRIO | 02 LECHE DESLACTOSADA | 1 | 105.00 | No |
| 202606130005 | AGUA |  | 1 | 20.00 | No |
| 202606130005 | CAPUCCINO CALIENTE | LECHE LIGHT | 1 | 76.00 | No |
| 202606130004 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130003 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 2 | 198.00 | No |
| 202606130003 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 2 | 152.00 | No |
| 202606130002 | MOKA CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1 | 92.00 | No |
| 202606130001 | POLVORONES |  | 1 | 38.00 | No |
| 202606130001 | LATTE AMARETTO CALIENTE | LECHE LIGHT | 1 | 92.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: OK (35 órdenes = $5987.00, 66 productos = $5987.00)
- Generado: 2026-06-14T00:00:00 (prueba manual en vivo, validación del nuevo SKILL antes de la corrida nocturna)
