| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202609190008 | MANZANA ENCHILADA |  | 1.0 | 50.00 | No |
| 202609190007 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190007 | BEBIDA GRATIS PROGRAMA LEALTAD |  | 1.0 | 0.00 | No |
| 202609190007 | TÉ MANZANILLA-JENGIBRE CALIENTE |  | 1.0 | 55.00 | No |
| 202609190007 | ROL DE CANELA MANZANA |  | 1.0 | 70.00 | No |
| 202609190006 | MOKA BLANCO CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1.0 | 97.00 | No |
| 202609190005 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609190004 | LATTE FRIO | 02 LECHE DESLACTOSADA | 1.0 | 82.00 | No |
| 202609190004 | OREJITAS |  | 1.0 | 40.00 | No |
| 202609190003 | HORCHATA CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 90.00 | No |
| 202609190003 | CHOCOLATE BLANCO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 90.00 | No |
| 202609190003 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190003 | EUROPEO CALIENTE | 10 CORTADO | 1.0 | 85.00 | No |
| 202609190002 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609190001 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609190001 | LATTE CALIENTE | 14 LECHE DE AVENA | 1.0 | 88.00 | No |
| 202609190001 | CHAI VAINILLA S/A CALIENTE | 14 LECHE DE AVENA | 1.0 | 112.00 | No |
| 202609190001 | OREJITAS |  | 1.0 | 40.00 | No |

---

## NOTAS

- Datos: API de órdenes (`/admin/baigong/order/list`) + detalle de productos por orden (`/admin/baigong/order/info`)
- El Cierre formal no fue ejecutado por el cajero
- Match órdenes vs productos: DIFERENCIA $780.40
- Generado: 2026-09-20T05:24:20.931709 (recopos_extractor.py / GitHub Actions)
